"","T1R1","T1R4","T1R5","T2R1","T2R4","T2R5","T3R1","T3R5","T4R1","T5R1","T5R4","T5R5"
"ac09a700281e0e84b375bb5ae517a23e",14.3093255355667,13.1693683622135,3.08084772370487,0,0,0,43.75,0,0,0,0,0
"896c05c0ef629cc4725eb1d8db95f2e5",0,0,0,0,0,0,0,0,84.6153846153846,0,0,0
"4921e77373cf88d5d939898928db7f1d",2.97501748140614,1.66573504751258,4.06200941915228,0,0,35.5769230769231,0,33.3333333333333,0,0,10.2028985507246,9.366391184573
"af2a8d6190dac41427b5208bd79874e0",0,0,0,0,0,0,0,0,0,25.5555555555556,33.0434782608696,8.53994490358127
"04b867faf28bb8e9696ddab9bc9774a1",0,5.15371716042482,0.529827315541601,0,0,0,0,0,0,0,0,0
"3112a0cc9050d0bee3e65ae6ac080099",0,4.24818334264952,2.13893249607535,0,0,0,0,0,0,0,0,0
"6ba2d1f0e3b971b2afeb348b44f26b2d",0,2.62716601453326,0,0,0,0,0,0,0,0,2.43478260869565,1.2396694214876
"2424b82f393cce6b25e2f0fef86314f2",12.7773186701418,14.1531581889324,4.00313971742543,42.5925925925926,0,16.3461538461538,25,0,0,52.2222222222222,16.1159420289855,5.64738292011019
"f508a05c1f9bbdaefd0ec0ff6f5db60b",1.44301061598118,0,1.6679748822606,0,0,0,0,0,0,0,0,0
"92eb684563a59988b1e9cc61e7c6eaa1",29.6166804398957,8.36221352711012,78.7087912087912,57.4074074074074,76.1904761904762,30.7692307692308,20,0,0,8.88888888888889,10.6086956521739,42.8374655647383
"157f6ba228fbb1d6d88977bcc75d3c63",0,5.20961430967021,0,0,0,2.88461538461538,0,0,0,0,0,0
"4c6043796448a2d50aaf470a409f36f7",9.11575869302651,9.60313024035774,2.00156985871272,0,0,0,0,0,0,13.3333333333333,0,0
"04f7a79aa778df478752a5e08bb5e68d",0,0,1.39324960753532,0,0,0,0,0,15.3846153846154,0,0,0
"ba2bf0826df666849c91fc7512a57e78",0,10.1621017328116,0.392464678178964,0,0,0,0,66.6666666666667,0,0,17.5652173913043,23.9669421487603
"d1589540ef4c33b985e1103a5e0921f9",0,4.0581330352152,0,0,23.8095238095238,14.4230769230769,0,0,0,0,0,3.30578512396694
"178902d35f055b7cc539fe7326a49c89",7.36761807895239,0,0,0,0,0,0,0,0,0,0,0
"8f1d6c5f6a03b21a67f492d2004679fa",6.61750683364058,0,0.64756671899529,0,0,0,0,0,0,0,0,0
