,control.gypsum.dry.tp0,control.gypsum.dry.tp1,control.gypsum.wet.tp0,control.gypsum.wet.tp1,control.gypsum.dry.tp2,control.gypsum.wet.tp3,loc1.plywood.wet.tp0,control.mdf.dry.tp1,control.plywood.dry.tp2,control.mdf.dry.tp3,control.mdf.dry.tp0,control.mdf.dry.tp2,loc1.gypsum.wet.tp2,control.plywood.dry.tp1,control.plywood.dry.tp3,control.plywood.dry.tp0,control.plywood.wet.tp3,loc1.gypsum.dry.tp0,loc1.gypsum.dry.tp1,loc1.gypsum.dry.tp3,loc1.gypsum.wet.tp0,loc1.gypsum.dry.tp2,loc1.gypsum.wet.tp3,loc1.mdf.dry.tp0,loc1.mdf.dry.tp1,loc1.plywood.dry.tp2,loc1.mdf.dry.tp3,loc1.mdf.wet.tp0,loc1.mdf.dry.tp2,loc2.plywood.wet.tp0,loc1.plywood.dry.tp1,loc1.plywood.dry.tp3,loc1.plywood.dry.tp0,loc1.plywood.wet.tp1,loc2.gypsum.wet.tp2,loc2.gypsum.dry.tp0,loc2.gypsum.dry.tp1,loc2.plywood.wet.tp2,loc2.gypsum.wet.tp0,loc2.gypsum.wet.tp1,loc2.gypsum.dry.tp2,loc2.gypsum.wet.tp3,control.mdf.wet.tp0,loc2.mdf.dry.tp1,loc2.plywood.dry.tp2,loc2.mdf.dry.tp3,loc2.mdf.dry.tp2,control.plywood.wet.tp0,loc2.plywood.dry.tp1,loc2.plywood.dry.tp3,loc2.plywood.dry.tp0,loc2.plywood.wet.tp1,control.gypsum.wet.tp2,loc2.plywood.wet.tp3
3464844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,5,0,0,4,35,0,1,2,0,0,8,6,0,9,0,9,0,0,39,16,13,23,0,20,0,32,0,0,0
1011712,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,4,4,8,0,21,0,12,0,15,0,18,14,0,4,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,0,7,0,0,5,17,0,6,0,8,0,0,7,19,0,4,0,4,13,3,0,0,0
1114878,7,16,23,0,14,0,0,0,40,0,28,0,0,18,0,0,0,12,0,0,0,0,0,0,10,8,0,0,12,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111294,0,0,3,0,6,0,6,10,0,6,23,15,0,70,0,0,3,0,15,16,20,16,0,11,17,6,6,18,4,5,13,10,6,0,0,0,7,0,6,1,5,0,0,1,11,12,1,24,0,13,1,0,0,0
1002005,0,7,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,9,5,0,1,2,0,0,4,4,0,7,5,2,3,8,4,0,0,3,11,0,1,0,5,0,0,4,3,0,10,0,1,19,2,0,0,0
1048878,0,8,7,0,3,0,0,25,1,0,0,1,0,12,43,9,1,10,7,0,3,0,0,0,0,2,1,5,5,0,2,6,4,0,0,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
1078248,2,0,0,543,32,421,10,0,0,0,0,0,386,0,0,0,64,10,7,1,0,16,94,2,0,1,16,5,0,0,0,10,0,0,54,0,0,0,0,38,5,40,0,0,0,0,0,0,0,0,0,0,566,0
1088305,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,10,12,0,5,21,0,12,0,9,0,30,1,1,4,7,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984831,0,0,0,0,0,0,42,0,0,0,0,0,0,3,0,2,0,27,65,15,25,31,0,25,16,12,11,17,10,0,2,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
2979800,24,0,12,0,10,0,17,30,58,0,35,5,0,0,0,0,0,0,0,0,12,28,0,9,14,18,0,19,12,0,17,0,2,1,0,2,1,0,0,0,2,0,0,1,5,0,1,56,0,0,0,0,1,0
941487,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,9,0,0,0,0,17,4,5,4,6,0,22,2,3,10,5,3,6,20,0,1,8,2,0,0,2,2,3,8,0,9
1787644,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,183,0,47,0,0,9,32,0,2,65,14,13,0,217,542,0,93,26,0,0,402,278,0,265,0,365,0,9,565,285,331,525,37,492,24,446,0,0,0
