"","T1R1","T1R4","T2R1","T2R4","T2R5","T3R1","T3R4","T3R5","T4R1","T4R4","T4R5","T5R1","T5R4","T5R5"
"SH1726759.08FU_AF444541_refs",0,0,0,0,0,0.108659356527233,0,0.0116662227039986,0,0,0,0,0,0
"SH1725251.08FU_KJ706901_reps",0,0,2.86966762627584,0,0,1.8161635305266,0,0,0.374899621429391,0,0,2.87210099624894,0,0
"SH1674913.08FU_AJ244232_refs",0,0,8.27139492279508,0,0,0.43463742610893,0,0,0.0443960078008489,0,0,0,0,0
"SH1676198.08FU_KF984792_refs",0,0,0,0,0.803386254737896,0,0,0.0116662227039986,0,0.052309446873218,0,0,0.154558326979632,0.0498125447996967
"SH1694434.08FU_EU037063_reps",0,0,0,0,0,0.0310455304363521,0,0,0.0246644487782494,0,0.0255510596757307,0,0,0
"SH1692811.08FU_FJ430773_reps",2398.78571,0,1622.37503271395,1243.48835683831,1291.84509761854,174.165425747936,32.3081535553673,13.210830590008,50.3598715154296,76.6398783501236,41.3160634956566,840.009760819586,119.543840540246,52.9631882582775
"SH1695393.08FU_U65307_reps",0,157.666667,721.130594085318,1361.03391275828,576.831330901809,132.952484093678,49.7346020986769,56.6068458043419,95.2787656303774,84.9701577646835,248.39036812767,408.71592788287,95.4327415314236,332.697986717174
"SH1685996.08FU_AJ292429_refs",0,0,0,0,0,0,0,0,0.0246644487782494,0,0,0.319122332916549,0,0
"SH1738712.08FU_MG372138_reps",0,0,0,144.380714988521,63.3068368733462,0,2.47748158769471,0.300988545763163,0,0.92849268199962,8.18485611612575,0,0.843045419888901,2.46572096758499
"SH1744621.08FU_KC181928_reps",0,0,70.7288667887987,88.442636930141,237.802331402417,3.16664410450792,0.980903343544287,6.85740570541037,0.286107605827693,1.61505417221061,2.10370391330183,6.46222724156012,2.22001960570744,5.09333270576899
"SH1744611.08FU_EF679363_refs",0,0,11.3098665270872,7.18123975073795,13.0148573267539,0,0.106498077299094,0.793303143871903,0,0,0.408816954811692,0,0,0
"SH1664258.08FU_LN808981_reps",0,0,6.92096309866527,0,3.21354501895158,0,0,0.0233324454079972,0,0,0,0,0,0
"SH1688430.08FU_KC584249_refs",0,0,40.6817587019105,2.26775992128567,4.17760852463706,0.667478904381571,0,0.0956630261727884,0.0739933463347482,0,0,0,0,0
"SH1688498.08FU_KJ650604_reps",0,0,15.5299659774928,0,0,0.294932539145345,0,0,0,0,0,0.319122332916549,0,0
"SH1688806.08FU_KY788106_reps",0,0,4.38890342842188,0,22.4948151326611,0.294932539145345,0,0.669641183209519,0.172651141447746,0.026154723436609,0.144789338162474,0.638244665833098,0,0.112078225799318
"SH1800509.08FU_HM365253_refs",0,0,10.8034545930385,5.66939980321417,0,28.4221831144804,0.26344261226618,0.139994672447983,25.1478719743031,7.49986694544763,0.264027616649218,715.631831565361,39.3702211088117,0.510578584196891
